Test_Time(s),Temperature (C)_1,Temperature (C)_2
31281.462105469927,-10.394126892089844,-10.746649742126465
31286.46967031157,-10.472054481506348,-10.668463706970217
31291.477110426284,-10.425995826721191,-10.82484531402588
31296.48481423835,-10.549992561340332,-10.87115478515625
31301.492230485568,-10.348073959350586,-10.714761734008787
31306.49980880079,-10.316208839416504,-10.636579513549805
31311.507376337147,-10.082507133483888,-10.746649742126465
31316.51500854672,-10.348073959350586,-10.87115478515625
31321.52250563546,-10.581868171691896,-10.778535842895508
31326.53008741532,-10.316208839416504,-10.714761734008787
31331.537669195182,-10.238296508789062,-10.668463706970217
31336.545478101223,-10.425995826721191,-10.622161865234377
31341.552832754907,-10.316208839416504,-10.700345993041992
31346.56038951239,-10.613746643066406,-10.82484531402588
31351.567884291373,-10.457865715026855,-10.856735229492188
31356.575588488395,-10.48623752593994,-10.668463706970217
31361.583191826,-10.457865715026855,-10.746649742126465
31366.590691994417,-10.238296508789062,-10.746649742126465
31371.598245287267,-10.627942085266112,-10.590283393859863
31376.60577509757,-10.549992561340332,-10.636579513549805
31381.61354935725,-10.627942085266112,-10.700345993041992
31386.62099255165,-10.27015781402588,-10.700345993041992
31391.62852505668,-10.51811408996582,-10.778535842895508
31396.636111456053,-10.581868171691896,-10.636579513549805
31401.64367514281,-10.472054481506348,-10.792953491210938
31406.65116761204,-10.48623752593994,-10.87115478515625
31411.658825613904,-10.549992561340332,-10.87115478515625
31416.666386220983,-10.440180778503418,-10.761063575744627
31421.673918341057,-10.440180778503418,-10.903050422668455
31426.681540541675,-10.61024570465088,-10.87115478515625
31431.68908613533,-10.596059799194336,-10.87115478515625
31436.69663750338,-10.564180374145508,-10.839261054992676
31441.704259704005,-10.454362869262695,-10.74358367919922
31446.71183763427,-10.564180374145508,-10.74358367919922
31451.719395546635,-10.688199996948242,-10.711692810058594
31456.72709242942,-10.546480178833008,-10.74358367919922
31461.73454101325,-10.46854305267334,-10.74358367919922
31466.742212873665,-10.592541694641112,-10.74358367919922
31471.749688019707,-10.624425888061523,-10.74358367919922
31476.75728327316,-10.482720375061035,-10.665397644042969
31481.764827711933,-10.592541694641112,-10.789887428283691
31486.7724094918,-10.514598846435549,-10.711692810058594
31491.77999473629,-10.592541694641112,-10.679804801940918
31496.7875484141,-10.638606071472168,-10.757994651794434
31501.79507475977,-10.60672092437744,-10.647916793823242
31506.802648840443,-10.52877712249756,-10.726103782653809
31511.810335329323,-10.638606071472168,-10.647916793823242
31516.81786783435,-10.60672092437744,-10.726103782653809
31521.825401879218,-10.60672092437744,-10.726103782653809
31526.832852387844,-10.52877712249756,-10.647916793823242
31531.8406278024,-10.574834823608398,-10.772400856018066
31536.84811719195,-10.574834823608398,-10.616028785705566
31541.85569743197,-10.60672092437744,-10.616028785705566
31546.863137546687,-10.496893882751465,-10.647916793823242
31551.870703928165,-10.574834823608398,-10.662320137023926
31556.87839349672,-10.542949676513672,-10.584141731262209
31561.8861219462,-10.620898246765137,-10.584141731262209
31566.89358361866,-10.574834823608398,-10.662320137023926
31571.901160779,-10.496893882751465,-10.552252769470217
31576.908692514116,-10.542949676513672,-10.69421100616455
31581.916232718333,-10.574834823608398,-10.662320137023926
31586.923956163337,-10.511062622070312,-10.584141731262209
31591.931415911,-10.465012550354004,-10.69421100616455
31596.938988066868,-10.574834823608398,-10.616028785705566
31601.946553678423,-10.574834823608398,-10.630428314208984
31606.954131608687,-10.574834823608398,-10.616028785705566
31611.96169876008,-10.465012550354004,-10.69421100616455
31616.96927091595,-10.574834823608398,-10.584141731262209
31621.976848076298,-10.574834823608398,-10.647916793823242
31626.984418307373,-10.574834823608398,-10.616028785705566
31631.991985458764,-10.574834823608398,-10.726103782653809
31636.99942980804,-10.52877712249756,-10.647916793823242
31642.00700427367,-10.574834823608398,-10.647916793823242
31647.01458143401,-10.60672092437744,-10.616028785705566
31652.02214512077,-10.60672092437744,-10.616028785705566
31657.029951332093,-10.60672092437744,-10.726103782653809
31662.037563523765,-10.60672092437744,-10.616028785705566
31667.04498747018,-10.574834823608398,-10.69421100616455
31672.05263199846,-10.496893882751465,-10.726103782653809
31677.06013216688,-10.574834823608398,-10.69421100616455
31682.06783944357,-10.574834823608398,-10.616028785705566
31687.075279173336,-10.45084285736084,-10.616028785705566
31692.082855948724,-10.496893882751465,-10.647916793823242
31697.090430799308,-10.60672092437744,-10.647916793823242
31702.097994101103,-10.418963432312012,-10.69421100616455
31707.10552198662,-10.52877712249756,-10.616028785705566
31712.11314303237,-10.418963432312012,-10.69421100616455
31717.12070864392,-10.60672092437744,-10.647916793823242
31722.128158382628,-10.52877712249756,-10.69421100616455
31727.13585295566,-10.52877712249756,-10.647916793823242
31732.143425881448,-10.52877712249756,-10.69421100616455
31737.1509591564,-10.45084285736084,-10.647916793823242
31742.15854016634,-10.496893882751465,-10.726103782653809
31747.16614927833,-10.60672092437744,-10.69421100616455
31752.173719124447,-10.52877712249756,-10.616028785705566
31757.18128935552,-10.60672092437744,-10.647916793823242
31762.188985468387,-10.60672092437744,-10.726103782653809
31767.1963474363,-10.52877712249756,-10.647916793823242
31772.20390111411,-10.52877712249756,-10.757994651794434
31777.211718874223,-10.638606071472168,-10.616028785705566
31782.21902194331,-10.52877712249756,-10.647916793823242
31787.22658870975,-10.60672092437744,-10.616028785705566
31792.23415932578,-10.56065845489502,-10.616028785705566
31797.24173340645,-10.52877712249756,-10.647916793823242
31802.24943529371,-10.60672092437744,-10.647916793823242
31807.257009759345,-10.52877712249756,-10.647916793823242
31812.264582300173,-10.45084285736084,-10.647916793823242
31817.272108645844,-10.52877712249756,-10.647916793823242
31822.279684651312,-10.52877712249756,-10.647916793823242
31827.287291838507,-10.60672092437744,-10.647916793823242
31832.29486976877,-10.482720375061035,-10.647916793823242
31837.302437305127,-10.638606071472168,-10.647916793823242
31842.310014080515,-10.372917175292969,-10.647916793823242
31847.317585081502,-10.638606071472168,-10.647916793823242
31852.32529736268,-10.45084285736084,-10.757994651794434
31857.332727083485,-10.56065845489502,-10.679804801940918
31862.34030039424,-10.60672092437744,-10.647916793823242
31867.347870240348,-10.482720375061035,-10.647916793823242
31872.35544085638,-10.638606071472168,-10.647916793823242
31877.363019171604,-10.52877712249756,-10.647916793823242
31882.37058747788,-10.638606071472168,-10.647916793823242
31887.37817734189,-10.638606071472168,-10.647916793823242
31892.385771825426,-10.514598846435549,-10.647916793823242
31897.39344830535,-10.45084285736084,-10.569743156433104
31902.40102970025,-10.52877712249756,-10.757994651794434
31907.408444792592,-10.638606071472168,-10.647916793823242
31912.41617670671,-10.372917175292969,-10.569743156433104
31917.423737698748,-10.56065845489502,-10.679804801940918
31922.43105000687,-10.52877712249756,-10.711692810058594
31927.438785770584,-10.404790878295898,-10.679804801940918
31932.446334058957,-10.52877712249756,-10.679804801940918
31937.453877727818,-10.45084285736084,-10.757994651794434
31942.46145180848,-10.56065845489502,-10.679804801940918
31947.469029738742,-10.390612602233888,-10.711692810058594
31952.476599584857,-10.514598846435549,-10.647916793823242
31957.48414825819,-10.514598846435549,-10.679804801940918
31962.491739662044,-10.404790878295898,-10.711692810058594
31967.499289105297,-10.404790878295898,-10.679804801940918
31972.506840858307,-10.45084285736084,-10.6016263961792
31977.514408394665,-10.56065845489502,-10.647916793823242
31982.522173415306,-10.592541694641112,-10.711692810058594
31987.52960159627,-10.43666648864746,-10.711692810058594
31992.53717991149,-10.358739852905272,-10.491578102111816
31997.544785173897,-10.482720375061035,-10.711692810058594
32002.55231844884,-10.46854305267334,-10.711692810058594
32007.55988252056,-10.46854305267334,-10.633511543273926
32012.56746584026,-10.514598846435549,-10.633511543273926
32017.57503915101,-10.390612602233888,-10.679804801940918
32022.58239149493,-10.46854305267334,-10.633511543273926
32027.590171529,-10.390612602233888,-10.679804801940918
32032.59777640644,-10.404790878295898,-10.665397644042969
32037.60531738058,-10.578362464904783,-10.74358367919922
32042.612892616125,-10.578362464904783,-10.77547550201416
32047.62046207728,-10.578362464904783,-10.77547550201416
32052.627996122148,-10.46854305267334,-10.679804801940918
32057.635561348743,-10.592541694641112,-10.697285652160645
32062.643183549368,-10.546480178833008,-10.711692810058594
32067.650748006043,-10.43666648864746,-10.711692810058594
32072.658286285467,-10.53230094909668,-10.74358367919922
32077.66589578241,-10.390612602233888,-10.729175567626951
32082.673471787886,-10.53230094909668,-10.697285652160645
32087.68105164295,-10.500421524047852,-10.74358367919922
32092.688617254506,-10.564180374145508,-10.807369232177734
32097.696208273395,-10.422487258911133,-10.61910629272461
32102.70376118129,-10.53230094909668,-10.729175567626951
32107.711326792843,-10.48623752593994,-10.697285652160645
32112.71889355928,-10.53230094909668,-10.665397644042969
32117.726468794823,-10.454362869262695,-10.729175567626951
32122.73404595517,-10.454362869262695,-10.682876586914062
32127.741571915885,-10.48623752593994,-10.697285652160645
32132.74914137704,-10.564180374145508,-10.807369232177734
32137.756766657338,-10.48623752593994,-10.697285652160645
32142.76433765833,-10.596059799194336,-10.650991439819336
32147.771901345084,-10.51811408996582,-10.761063575744627
32152.77947427088,-10.48623752593994,-10.77547550201416
32157.78705374098,-10.596059799194336,-10.792953491210938
32162.79472213675,-10.440180778503418,-10.682876586914062
32167.80218496409,-10.549992561340332,-10.87115478515625
32172.80972632319,-10.596059799194336,-10.807369232177734
32177.81733428031,-10.627942085266112,-10.650991439819336
32182.824907591057,-10.581868171691896,-10.761063575744627
32187.832462423743,-10.549992561340332,-10.714761734008787
32192.840419154283,-10.581868171691896,-10.746649742126465
32197.847620594028,-10.284342765808104,-10.839261054992676
32202.85519621454,-10.472054481506348,-10.761063575744627
32207.86272217525,-10.472054481506348,-10.636579513549805
32212.87066158261,-10.425995826721191,-10.636579513549805
32217.878047802977,-10.330388069152832,-10.682876586914062
32222.885522179105,-10.564180374145508,-10.636579513549805
32227.893010413773,-10.51811408996582,-10.668463706970217
32232.900634154237,-10.581868171691896,-10.87115478515625
32237.908161654785,-10.627942085266112,-10.700345993041992
32242.91577384646,-10.627942085266112,-10.761063575744627
32247.92334099785,-10.472054481506348,-10.668463706970217
32252.930913538683,-10.581868171691896,-10.82484531402588
32257.93848761935,-10.472054481506348,-10.82484531402588
32262.94606862929,-10.51811408996582,-10.714761734008787
32267.953628466457,-10.425995826721191,-10.682876586914062
32272.961201392245,-10.394126892089844,-10.700345993041992
32277.96877662779,-10.394126892089844,-10.604697227478027
32282.976309132817,-10.425995826721191,-10.746649742126465
